English|Sanskrit
And so we begin our first story|अथ अतः प्रथमा कथा आरभते।
The name of the story is Loss of friends|कथायाः नाम मित्र-भेदः इति।
In brief the story can be retold in two sentences|सङ्क्षिपते वाक्यद्वयेन कथ्यताम्।
In the forest there was a great friendship between a lion and a bull.|वने सिंहस्य वृषस्य मध्ये महान् स्नेहः आसीत्।
Due to malice and out of greed, a jackal destroyed that friendship.|पिशुनतया अतिलोभ-कारणेन च कश्चित् जम्बुकः तं स्नेहं विनष्टवान्।
The story happened as follows.|कथा एवमेव जाता।
In the southern part, in a certain country was a city called Mahilaropyam.|दक्षिणात्ये कस्मिञ्चित् जनपदे महिलारोप्यं नाम नगरम् आसीत्।
There lived a king named Amarashakti (Immortal-Power).|तत्र अमरशक्तिः नाम राजा आसीत्।
He was familiar with all Nitishastras that showed how to live life well.|सः राजा सकल-नीति-शास्त्रेषु पारङ्गतः आसीत्।
His feet were made dazzling.|तस्य चरणौ प्रदीप्तौ।
Because mighty kings had placed their crowns at his feet in submission.|यतोहि आत्म-समर्पणे महाबलिनः राजानः स्वीय-मुकुटानि स्थापितवन्तः अमरशक्तेः चरणयोः।
He was like a tree.|सः अमरशक्तिः राजा द्रुम-सदृशः आसीत्।
A tree which could fulfill the desires of the people.|यः द्रुमः लोकस्य इच्छाः पूरयितुम् शक्नोति।
He had three friends.|तस्य त्रयः पुत्राः।
Their names were Vasushakti, Ugrashakti and Anekashakti.|वसुशक्तिः उग्रशक्तिः अनेकशक्तिः च इति नामानः।
They were complete duds.|ते परम-मूर्खाः।
And so the king having regarded his ignorant sons|अथ राजा मूढान् पुत्रान् आलोक्य
having called the ministers spoke to them thus|सचिवान् आहूय उक्तवान् यत्
<Gentlemen, you already know that|<भोः भवद्भिः ज्ञातम् यत्
These three sons of mine|एते मम त्रयः पुत्राः
have ignored the Shastras|शास्त्राणाम् उपेक्षां कुर्वन्ति।
and are morons.>|विवेक-हीनाः च ते।>
<Looking at them|<एतान् दृष्ट्वा
I can not enjoy my kingdom.>|राज्य-सौख्यम् न लभ्यते।>
<It is said that|<कथ्यते यत्
Instead of foolish sons|मूर्खाणां पुत्राणाम् अपेक्षया
Unborn sons|अजाताः पुत्राः
Dead sons|मृताः पुत्राः
are better|समीचिनाः
Because the dead and unborn ones only give grief once|यतोहि मृताः अजाताः केवलम् एकवारं दुःखं ददति
Foolish ones keep giving grief always>|मूर्खाः तु सदैव दुःखं ददति>
It is better to have a miscarriage.|गर्भस्रावः एव समीचिनम्।
Even better is not having children at all.|इतोऽपि समीचिनः तु प्रसवस्य अभावः।
Even better is stillbirth.|इतोऽपि समीचिनं तु मृतजन्म।
Even better is the birth of a daughter.|इतोऽपि समीचिनं तु पुत्र्याः जन्म।
Even better is the wife not being able to bear children.|इतोऽपि समीचिनं तु यत् भार्या जन्म न दातुं शक्नुयात्।
Even better is if the child never left the womb|इतोऽपि समीचिनं तु यत् शिशुः गर्भात् बहिः न आगच्छेत् कदापि।
But let there not be an ignorant son.|किन्तु अज्ञानी पुत्रः न भवेत्।
Even if he has beauty or wealth.|भवतु नाम रूपं वा धनं वा।
What can be done with a cow that does not deliver a calf ,nor yields milk?|धेनुः जन्म वा दुग्धं वा न ददाति चेत् किं प्रयोजनम् धेन्वा?
What is son worth who is not learned nor devoted to elders?|पुत्रः ज्ञानी न आज्ञाकारी न चेत् किं प्रयोजनम् पुत्रेण?
How can my sons be educated?|कथं पुत्राणां शिक्षणं भवेत्?
Here are 500 scholars.|अत्र तु पञ्चशतं पण्डिताः विद्यन्ते।
They are all appointed by me.|भवन्तः सर्वे मया नियुक्ताः।
Fulfill my wish.|मम इच्छां पूरयन्तु भवन्तः।
One of them said.|तत्र एकः पण्डितः अवदत्।
<Grammar is studied for 12 years.|<द्वादशवर्षाणि यावत् व्याकरणं पठ्यते।
Then there are scriptures of dharma.|धर्म-शास्त्राणि अपि सन्ति।
Scriptures of Manu.|मनु-शास्त्राणि अपि सन्ति।
Economic treatises.|अर्थ-शास्त्राणि।
Chanakyan treatises.|चाणक्यस्य शास्त्राणि।
There are also treatises related to desire such as that of Vatsyayana.|काम-शास्त्राणि उदाहरणतः वात्स्यायनस्य।
And so the scriptures of Dharma, Wealth and desire are known.|एवं च धर्मस्य अर्थस्य कामस्य च शास्त्राणि ज्ञायन्ते।
And only then does enlightenment come.>|तत् पश्चात् हि मोक्ष-प्राप्तिः।>
Among them was a minsiter called Sumati.|तेषु सुमतिः नाम मन्त्री आसीत्।
He said that|सः अवदत् यत्।
<This is life is temporary.|<अयम् जीवनम् आस्थायि एव।
This knowledge takes too much time to be learnt.|एतानि शास्त्राणि पठितुं बहु समयः आवश्यकः।
We need to find a shorter way to teach the princes.|राजकुमाराणां पाठयितुं सङ्क्षेप-मार्गः आवश्यकः।
It is said that|कथ्यते यत्
The scriptures are countless.|शास्त्राणि असङ्ख्यकानि।
One finds many obstacles while studying them.|तेषां पठने बहु विघ्नाः सन्ति।
But human life is short.|किन्तु मानव-जीवनं लघु।
Only the extract should be studied|केवलं सारं पठनीयम्
Ignoring the rest.|अवशिष्टम् अवगणय्य।
Just like a swan only drinks milk from a mix of water and milk.|यथा हंसः क्षीर-जल-मिश्रात् केवलं क्षीरं स्वीकरोति।
There is a Brahmin who is an expert in all scripture.|सकलेषु शास्त्रेषु पारङ्गतः कश्चन ब्राह्मणः अस्ति।
His name is Vishnu Sharma.|तस्य नाम विष्णु-शर्मा।
He is well respected by his countless students.|स्वीयैः असङ्ख्याकैः छात्रैः बहु मानितः सः।
Give your sons to him.|स्व-पुत्रान् तस्मै ददातु।
He will teach very well and quickly.>|सः सम्यक्तया शीघ्रतया पाठयति।>
Having heard that, the King invited Vishnu Sharma.|तत् श्रुत्वा राजा विष्णुशर्माणम् आह्वयत्।
<Oh, Gentleman, please teach my sons Economic treatises.|<महाभाग, कृपया सत्वरं मम पुत्रान् अर्थ-शास्त्रं पाठयतु।
In a special way.|विशिष्ट-रीत्या।
If you succeed then I will give you a 100 villages.>|सफलः भविष्यति चेत् भवते शत-सङ्ख्याकानि ग्रामाणि प्रदास्यामि।>
And so Vishnu Sharma said to the King.|अथ विष्णु-शर्मा तं राजानम् अवदत्।
<Sire, please listen to what I say.|<देव! मम वचनं श्रुणोतु।
I will not teach for a 100 villages.|शत-सङ्ख्याकानि ग्रामाणि लब्धुं विद्यादानं न करोमि।
If I dont teach your sons the Nitishastras in 6 months, then I will abandon my very name.>|यदि षड्सु मासेषु नीति-शास्त्राणि न पाठयितुं शक्नोमि तर्हि स्वकीयं नाम एव त्यक्ष्यामि।>
And so the King and his ministers heard of the impossible promise by Vishnu Sharma.|एवं विष्णु-शर्मणः असाध्यां प्रतिज्ञाम् अश्रुण्वन् राजा मन्त्रिणः च।
They were surprised and happy.|आश्चर्यचकिताः प्रसन्नाः च अभवन्।
The King gave his sons to Vishnu Sharma respectfully.|राजा स्वीयान् पुत्रान् विष्णु-शर्मणे सादरं समर्पयत्।
The king was at ease.|राजा आश्वस्तः आसीत्।
To teach the sons Vishnu sharma wrote five stories.|पुत्रान् पाठयितुं विष्णु-शर्मा पञ्चकथाः अरचयत्।
The five stories are - loss of friends, gaining of friends, crows and owls, the forfeit of profits and actions without consequences. |पञ्च-कथाः सन्ति मित्र-भेदः, मित्र-प्राप्तिः, काक-उलूकीयम्, लब्ध-प्रणाशः, अपरीक्षित-कारकाणि च।
And so the Princes understood niti shastras well in 6 months.|एवं च षड्सु मासेषु नीति-शास्त्राणि सम्यक्तया अवागच्छन् राजकुमाराः।
The collection of these stories is called Panchatantra.|आसां पञ्चकथानां सङ्ग्रहः पञ्च-तन्त्रम् इति जातः।
Which is used to teach children.|यः बालान् शिक्षयितुं नाम्ना लोकप्रियः प्रवृत्तः।
It is said that.|कथ्यते यत्
He who studies or listens to this treatise on administration and politics daily will never ever get defeated by even Indra.
Whoever reads this Nitishastra regularly |यः कोऽपि इदं नित्यं नीति-शास्त्रं पठति।
He won't be defeated even by Indra.|इन्द्राद् अपि पराजयं न लभते।
